#31	VV CD CD NN IN NN NN !#31/NN
$	IN !$/$ CD
racer	IN NN NP NN NN !racer/NN IN NP
racers	CD NN IN JJ NN NNS CD NN !racer/NNS VVP NN
raceway	NNS NNS VVN !raceway/NN
rachael	CD NN IN !Rachael/NP NN NN NN NN
rachel	VV CD NN IN !Rachel/NP NP NP
racing	CD NN IN NN NN NNS NN NN !race/VVG NN NN
racinne	!racinne/NP NP NNS
rack	VV CD NN IN NN JJ JJ NN CC NN !rack/NN
raclette	CD NN IN NN NN NN CC !raclette/NN NN
radeon	NN !radeon/NN NN CD IN NN
radha	VV CD NN IN !radha/NN NN JJ NN NN
radian	VV CD NN IN NN !radian/NN NN JJ NN NN
radiance	JJ JJ !radiance/NN NN JJ NN JJ NN NN
radiate	CD NN IN !radiate/VV JJ NN CD NN IN NN
radio	VV CD NN IN JJ JJ NN IN !radio/NN
raffy	VV CD NN IN JJ !raffy/NNS DT NN NN CC NN
raft	VV CD NN IN NNS NN NN NN NN !raft/NN
ragamuffin	CD NN IN NNS JJ NN NNS !ragamuffin/NN NN NN
raider	VV CD NN IN NN IN DT NN !raider/NN NN CD
rail	IN !rail/NN NN NN NNS NNS
railroad	JJ NN IN DT JJ !railway/NN IN NN CC JJ NNS IN NNS
railway	NN JJ JJ !railway/NN NN VVD
rain	CD NN IN !rain/NN
rainbow	CD NN IN !rainbow/NN IN PP$ NN
rainfall	VV CD NN IN JJ NN CD JJ NN NN JJ NN NN IN !rainfall/NN VV NN
rainforest	CD NN IN NN !rainforest/NN JJ NN
rainier	VV CD NN IN NN !rainy/JJR NN NN
rainproof	CD NN IN JJ NN !rainproof/JJ NN
rainstick	CD NN IN NNS NN NN NN !rainstick/NN VV
raintrain	CD NN IN NN CD !raintrain/NN VVG NN
raisin	VV JJ JJ !raisin/NN NN NN
rally	NN NN NN !rally/NN
ralph	!ralph/NN NNS
ram	CD NN IN NN NN !ram/NN JJ NN
ramada	!Ramada/NP NP VVZ
ramsay	RB TO CD NN IN NN !ramsay/NN NN NNS
ranch	DT NN !ranch/NN JJ NN IN RB JJ
random	CD NN IN NNS NN !random/JJ NN NN
range	CD NN IN NNS JJ !range/NN NN NN
rangefinder	VV CD NN IN NP NN NN NN NN NN NN !rangefinder/NN
ranger	NNS !ranger/NN
rangers	VV CD NN IN JJ NN NN !ranger/NNS
ranma	CD NN IN !ranma/NN CD CD NNS
rapid	VV CD NN IN NN !rapid/JJ NN NN
rapids	JJ NN JJ !rapids/NN NN NN IN NN
raptors	VV CD NN NN CC CD !raptor/NNS NNS TO NNS NN IN DT NN VVZ
rapturare	JJ JJ NNS JJ !rapturare/NN NN VVN IN NN
rapunzel	VV CD NN IN NN NN JJ NNS !rapunzel/NN NN
rapunzels	VV CD NN IN NP NP NN CD !rapunzels/NNS JJS NN RB VVG NN
raquelle	VV NN NN NN !raquelle/NN IN NN
rarity	VV CD NN IN PP$ JJ NN !rarity/NN NN NN NN
raspberry	NP NP JJ !raspberry/NN JJ JJ NN
rate	CD NN IN NN NN CD NN !rate/NN CC NN NN
rational	!rational/JJ IN NN NNS IN NN
rattan	CD NN IN NN !rattan/NN JJ NN
rattle	CD NN IN NN NN !rattle/VV NNS VVN
rave	NN NN NNS TO !rave/VV IN JJ NN
ravenna	NP !Ravenna/NP CD NN JJ NN NN VVN IN
ravensburger	CD NN IN JJ !ravensburger/NN NNS CC NNS
ravensburgers	RB TO CD NN IN !ravensburgers/NNS NNS
ravenwood	CD NN IN VVG NN !ravenwood/NN JJ NN NN NN
ravpower	VV IN !ravpower/JJR JJ NNS
raw	CD NN IN NN !raw/JJ NN JJ NN JJ NN NN NNS
rawhead	CD NN IN !rawhead/NN NN NN
rawhide	VV CD NN IN !rawhide/NN
ray	CD NN IN NP !ray/NN NN NN NN
ray-ban	VV CD NN IN NN NNS IN !ray-ban/NN
raya	VV CD NN IN NP !Raya/NP NP JJ NN NN
raymond	CD NN IN NN VVZ !raymond/JJR
razer	CD NN IN !razer/NN NN CC NN NNS
razor	VV CD NN IN !razor/NN NN NN NN
rc	VV CD NN IN NN NNS NN NN !rc/NN NN
rca	VV CD NN IN !rca/NNS JJ CD VVD JJ NN
re-animator	CD NN IN !re-animator/NN NN
read	JJ NN !read/VVD RBR VV JJR NNS
reader	CD NN IN JJ NN NN CD !reader/NN
reads	CD NN IN JJ VV !read/NNS JJR CC JJR
ready	CD NN IN NN NNS JJ NNS !ready/JJ NN
ready-to-gift	VV CD NN IN !ready-to-gift/NN JJ VVN NP SYM DT JJ CD NN IN NN IN NN NN
ready-to-hang	CD NN IN !ready-to-hang/NN NNS
readyclean	CD NN IN NP !readyclean/JJ NN RB JJR
real	!real/JJ JJ NN
reality	CD NN IN JJ NN JJ NN NN JJ !reality/NN NNS
really	VV RB TO CD NN IN NNS NN !really/RB VVZ
reana	VV CD NN IN CD NN NP !reana/NP VV NN
rebate	VV CD NN IN JJ NNS SYM JJ JJ !rebate/NN
rebecca	VV CD NN IN !rebecca/NN NN JJ NN NN NN
rebel	VV CD NN IN JJ JJ VV JJ JJ !rebel/NN NN NN
recaled	NNS !recaled/VVD JJ NN VVN NN NNS JJ TO NN NNS
recall	NN !recall/NN NN
recalled	!recall/VVN NNS JJ TO NN NN
recalling	VBZ !recall/VVG NN NN VVN NNS JJ TO NN DT
recalls	NP NP !recall/VVZ NN NNS JJ TO DT NN IN JJ NN
receipt	NNS VVD JJ !receipt/NN NNS
receive	!receive/VV CD NN JJ NN NNS
receiver	JJ NN !receiver/NN
recharge	VV NN IN NNS NN !recharge/NN NN NN NN VVN
rechargeable	CD NN IN JJ NN JJ JJ !rechargeable/JJ JJ NN
recieve	!recieve/JJ JJ NN NN
recipe	JJ !recipe/NN NNS NN IN NN
reciprocating	CD NN IN NP NP NN NN NN !reciprocate/VVG NN NN
recliner	VV CD NN IN NN NN NN JJ !recliner/NN IN NN CC NN
recon	VV CD NN IN JJR NN !recon/NN NN CD
record	CD NN IN NN NN !record/NN NN NN NN NN
recordable	!recordable/JJ NN IN NN NN
recorder	VV CD NN IN NN JJ NN NN NN !recorder/NN
recovery	VV CD NN IN NN !recovery/NN NNS
recreation	VV CD NN IN NN !recreation/NN NN VVN NP NN NN
rectanglular	CD NN IN CD NN !rectanglular/JJ NN NN
rectangular	VV CD NN IN NN NN !rectangular/JJ JJ NN
recumbent	VV CD NN IN NP !recumbent/JJ
recycle	VV DT JJ NN WRB PP !recycle/VV DT JJ NN
red	!red/JJ
redeem	!redeem/VV PP$ JJ NNS SYM VV NNS RB
redemption	NNS NN NN NN NNS !redemption/NN NN
redenbachers	VV CD IN NN !redenbachers/NNS NN
redepmtion	NNS NN NN JJ VVP PP$ JJ NNS !redepmtion/NN NN
reduced	VV DT JJ CD NN IN RB !reduce/VVN NNS
reduced-calorie	!reduced-calorie/NN NN NNS
reduced-fat	JJ NN IN JJ !reduced-fat/JJ
reduction	VV CD NN IN JJ JJ NN !reduction/NN NNS
reductions	JJR !reduction/NNS
ree	VV PP VV CD !ree/NN NNS
reebok	!rhebok/NN NN NN IN NN NN
reef	CD NN IN NN NN !reef/NN NN NN NN
reel	VV CD NN IN NN NN JJ NN !reel/NN
reese	NN IN JJ NN !reese/NN NN NN NN
refer	!refer/VVP CD NNS VV RP CC VV CD NN RP
refil	NN NN !refil/NN
refill	JJ JJ NN CC NN IN !refill/NN NN
refillable	CD NN IN JJ !refillable/JJ NN IN NN
refills	NNS NN !refill/NNS
reflected	VV CD NN IN NN !reflect/VVD NN
reflections	JJ !reflectance/NNS NN VVZ
refractor	VV CD NN IN JJ NN !refractor/NN NN
refresh	!refresh/VV IN NN
refresher	VV CD NN IN !refresher/NN NNS
refreshers	VV CD IN !refresher/NNS JJ NN VVP CD JJ
refrigerator	NN JJ NN !refrigerator/NN IN VVN NN
refurbished	!refurbish/VVN NN NN IN NN
reg	!reg/NN
reg-priced	VV CD NN IN JJ !reg-priced/JJ NNS
regal	VV CD NN IN JJ JJ NN NN !regal/JJ JJ NN
regalo	CD NN IN !regalo/NN NN VVN PP$ NN JJ NN
register	!register/VV DT NN IN CD NNS
registered	JJ NN VVZ NN NN IN NNS NP CC !registered/JJ NN
registration	JJ CC JJ !registration/NN SYM CD NNS JJ NN
regular	JJ !regular/JJ NN NN WRB PP VVP DT JJ NN
regular-price	VV CD NN IN !regular-price/JJ NN SYM JJ CD NN IN NN NNS
regular-priced	VV CD NN IN !regular-priced/JJ NNS
regulating	VV CD NN CD NN IN RB PP$ NN !regulating/NN NN SYM JJ CD NN NP NN
reitmans	!reitmans/NP NP VVZ
relaxant	NN !relaxant/NN IN JJ NN
released	NNS NN VHZ !release/VVN PP$ JJ NNS JJ IN JJ CD
releases	VV CD NN IN JJ !release/NNS CC NNS IN NNS
releasing	VV RB TO CD NN IN NNS CC NN NNS !release/VVG DT NN
relief	VV CD NN IN NN NN NN NN IN JJ NN !relief/NN NN
reload	VV JJ NN NNS NN NN IN JJ JJ NP NN !reload/NN
remember	NN NN NN TO !remember/VV NN
remembered	VV CD NN IN JJ !remember/VVN NN
remembrance	NN NN NN JJ !remembrance/NN NN NNS
reminder	SYM !reminder/NN SYM
remington	VV CD NN IN !Remington/NP JJ NN NN
remote	VV NN NN NN JJ NNS NN IN !remote/JJ IN NN
removable	NN JJ !removable/JJ NN NN
removal	VV RB TO CD NN IN NN NN !removal/NN
remover	JJ JJ NN !remover/NN IN JJ
removing	CD NN IN DT NN NN NN VVP RP !remove/VVG NN
renees	!renees/NNS NN NN
renegade	VV CD NN IN IN NN NP JJ !renegade/NN NN
renergie	VV !renergie/NN NN IN NN IN NP SYM CD JJ NNS NNS
renew	VV NN WRB PP VVP JJR NN !renew/VV JJ NN NN NN
renfrew	NN !renfrew/NN
rentals	VV CD JJ !rental/NNS
reolink	VV CD NN IN JJ !reolink/NN NN NNS
repair	JJ NN CC VV !repair/NN NN
replacement	JJ !replacement/NN NN NNS SYM VVG NN
replica	JJ NN NN NN JJ NNS JJ NN !replica/NN RB NN
report	NNS IN !report/NN NN NN SYM DT JJ NN NN NN
republic	NN !republic/NN NN NNS
required	DT NN !require/VVD
rescue	CD NN IN NN NN NNS !rescue/NN NN
resealable	CD !resealable/JJ NNS IN JJ IN NN
reserve	VV DT JJ NN NN NN WRB PP VVP JJ !reserve/NN
resident	CD NN IN !resident/NN NN
residents	VV CD NN IN NN IN NP NN SYM JJ NN IN NN !resident/NNS
resistance	CD NN IN JJ NN NNS !resistance/NN NN VVD
resistant	VV CD NN IN JJ NN NN CC JJ NN !resistant/JJ JJ NN NN
resolution	VV CD CD NN IN NNS !resolution/NN NN NN
resolutions	CD NN IN NN !resolution/NNS NNS NN
resolve	!resolve/NN
resort	VV !resort/NN NN IN RB JJ
respirators	VV CD NN IN JJ JJ NN VVG CC NNS JJ !respirator/NNS
rest	CD NN IN DT !rest/NN IN PP$ NN
restaurant	!restaurant/NN
restaurants	!restaurant/NNS
restoralax	!restoralax/NN NN NN
restoration	DT NN !restoration/NN
res­i­dents	!res­i­dents/NNS IN NN
retail	!retail/JJ NN JJ
retinol	VV CD NN IN JJ NNS JJ CD NN !retinol/NN NN NN
retractable	VV CD NN IN NN NN !retractable/JJ NN NN
retro	VV JJ NN JJ !retro/NN CD NN NN NN IN JJ
return	NN NN NN !return/NN NN
reurig	!reurig/NP NP JJ NN
reusable	CD NN IN NN NN JJ !reusable/JJ NN
reveal	CD NN IN NN NN NN !reveal/VVP NN NN
reveal-a-deal	JJ NN !reveal-a-deal/NN NNS
revenant	VV CD NN IN DT !revenant/NN
reverse	VV NN IN JJ !reverse/JJ NN NN IN JJ NN
reversible	VV CD NN IN NN NNS !reversible/JJ NN
revgear	VV CD NN IN !revgear/NN NN NNS NN
revitalift	JJ NN IN JJ !revitalift/NN NN VV
revive	VV CD NN IN VVD VV JJ !revive/VVP NN NN CD SYM NN
revlon	CD NN IN !revlon/JJ JJ JJ NN
revolution	CD NN IN NP !revolution/NN NN VVD
revolutionary	VV CD NN IN NN NN DT !revolutionary/JJ NN NN NN NN NN
reward	VV CD NN IN PP$ NN CC JJ NN NN NNS !reward/NN NNS
rewarded	VV !reward/VVN NN RBR
rewards	NNS !reward/VVZ NN NN NNS NNS
rewind	VV CD NN IN NN NN NNS JJ !rewind/NN CC JJ NN
rex	VV CD NN IN NN NN NN JJ NN !rex/NN
rexal	!rexal/JJ NN NNS
rexall	!rexall/NN NN CC NN NNS
rey	DT NN VVZ !rey/JJR
rgb	CD NN IN JJR !rgb/NN VVD JJ NN
rhyme	VV DT VVG NN DT NN !rhyme/NN NN
rhythm	VV DT CD NN !rhythm/NN
rib	CD CD CD NN NN !rib/NN NNS IN JJ NN
ribbon	CD NN IN JJ NN NN !ribbon/NN
ribs	VV JJ NN CC NN IN NN IN CD CD NN !rib/NNS
ricardo	!Ricardo/NP NP NNS
rice	CD NN IN NN NN !rice/NN NN
rich	CD NN IN JJ !rich/JJ NNS NN
riche	VV CD NN IN JJ NN NNS NN !riche/NN NP NN NN NN
rickis	!rickis/NP NP NN
ricsb	VV CD NN IN !ricsb/NN NN VVG NN NN VVN IN JJ NN
rid	VV NN NN JJ TO !rid/VV NN IN RB JJ
ride	NN NN !ride/NN NN
ride-on	NN NN DT NN !ride-on/NN NN
ride-ons	VV CD NN IN JJ NNS !ride-ons/NNS
rider	CD NN IN NN NN !rider/NN NN NN
rides	PP !ride/NNS NN
ridgid	VV CD NN IN !ridgid/NN VVP NN NN NN NN NN
riedel	VV CD NN IN !riedel/NN JJ NN CC JJ NN NN NN VVN IN NN
rifle	NN NN !rifle/NN IN NN CD
right	VV CD NN IN NN NN !right/RB JJ NN VV NN
right@home	!right@home/NN NN VVN NNS IN NN NN IN NN NNS NN
riley	VV CD NN IN JJ !riley/NN NN JJ NN NN
rim	NN NNS NNS VVP RP DT !rim/NN TO VV NN VBZ RB
rimmel	VV DT !rimmel/NN NN NN CC NN VVP CC VVP CD JJ
rims	NN !rim/VVZ RB JJ IN NN JJ
ring	VV CD NN IN !ring/NN NNS VVD JJ NN
rings	NN !ring/NNS
ringsand	VV TO NN !ringsand/NN JJR NNS
rio	CD NN IN !Rio/NP NP NNS NN NNS
rip	VV CD NN IN JJ NN IN JJ !rip/NN NN NN
ripleys	!ripleys/NNS NN NN
rise	CD NN IN NN NN JJ JJ !rise/NN NN NN
risen	CD NN IN !rise/VVN
rises	DT JJ NN !rise/VVZ JJ NN IN NN
rising	VV CD NN IN RB !rise/VVG CD NN CD NN NN
risk	CD NN IN DT !risk/NN
riso	VV !riso/NN NN NN NN IN NN VVG DT PP MD VV NN CC NN CC NN NN
ritter	!ritter/NN NN NN NNS
rival	CD NN IN NP !rival/JJ NNS
rivenwood	!rivenwood/NN NN NN NN IN NN
river	VV CD NN IN NN !river/NN VVN NP NN NN
riverland	JJ IN !riverland/NN NNS IN NN
riverridge	VV CD NN IN !riverridge/NN NN NN NN NN NN
rivers	VV CD NN IN !river/NNS NN NNS NN NN NN
rivet	CD NN IN NP CD NN JJ !rivet/NN NN NN NN
riviera	CD NN IN NN NN !Riviera/NP NN NN
rivo	!rivo/NN NN NN SYM CD NN NN IN NN NNS
rizzoli	VV CD NN IN !rizzoli/NNS
rj45	CD NN !rj45/JJ NN NN IN NN
rl	VV CD NN IN !rl/NN NN JJ NN NN
rm-p2	VV CD NN IN NN !rm-p2/NN JJ VVN NN NN
rm200	VV CD NN IN NN VVP NN NN !rm200/NN NN NN
rng	!rng/NP
road	VV CD NN IN JJ JJ NNS IN !road/NN NN NN
roadside	JJ !roadside/NN NN NN IN NN
roadster	VV CD NN IN JJ NNS JJ JJ JJ !roadster/NN
roarin	VV CD NN IN JJ !roarin/NN NN
roast	!roast/NN NN NN
roasted	VV CD NN NN CC NN !roast/VVD NN NNS IN RB JJ
roaster	VV CD NN IN NN JJ NN !roaster/NN SYM JJR NNS NNS
roasting	CD NN IN NN NN JJ NN !roasting/NN VV
roatan	VV CD NN IN JJ NN !roatan/NN VVN NN
roav	!roav/NN NN
robax	!robax/NN NN NN
robbins	NN !roband/NNS NN NN NNS
robe	CD NN IN NP NP JJ !robe/NN
robeez	!robeez/NN
roberto	JJ !roberto/NN NN NN JJ NNS JJ NN NN RB NN
robes	!robe/NNS
robin	CD NN IN !robin/NN NN
robins	NN !robin/NNS NN NNS
robo	!robo/NN NN JJ NN NN IN JJ
robot	VV CD NN IN NN NN NN VVG !robot/NN
robotic	VV CD NN IN JJ !robotic/JJ NNS
robotics	VV CD NN IN NN !robotic/NNS NP NP NN NN
roccat	!roccat/NN NN NN NN IN NN
rocco	CD NN IN NP !Rocco/NP NN NN JJ NN NN VVD
rocher	NNS !rocher/NN NN NN
rock	VV CD NN IN JJ JJ !rock/NN NN VV JJR JJ NN
rocker	CD NN IN JJ NN !rocker/NN
rocket	JJ JJ NN VV DT !rocket/NN NN
rocketbook	CD NN IN !rocketbook/NN NN JJ JJ NN
rockford	VV CD NN DT !Rockford/NP NNS
rockin	NN IN NN !rockin/NN RB IN
rocking	CD NN IN JJ NNS !rock/VVG NN NN
rockjam	VV CD NN IN DT !rockjam/NN JJ NN NN
rockland	CD NN IN !rockland/NN NN VVG NN NN
rockport	!Rockport/NN NN NNS
rockstar	VV NP DT !rockstar/NN NN JJ NNS IN NN
rocky	VV CD NN IN !rocky/JJ
rodgers	VV CD NN IN DT !rodgers/NNS
rods	!ranging/NNS
rogers	!rogers/NNS NN NNS IN NP SYM JJ JJ NN NN
roku	JJ !roku/NN JJ VVN NN IN NN IN NN
roleadro	CD NN IN !roleadro/NN JJ VVD VV NN IN NN NNS
rolf	!rolf/NN NN SYM JJ JJ NN
roll	!roll/NN NN NN NN
roll-on	VV CD NN IN JJ NN JJ !roll-on/NN NN
rollback	NP NP !rollback/NN NNS
rolled	VV CD !rolled/JJ NN NNS
roller	VV CD NN IN JJ NN NN !roller/NN
rollers	VV CD NN IN NN NN NN NN NN JJ NN !roller/NNS
rollin	VV CD NN IN JJ NNS VVP CC VVP JJR !rollin/NN NNS
rolling	VV CD NN IN NNS JJ CD NN !rolling/JJ NN NN
rollplay	VV CD NN IN !rollplay/NN JJ JJ JJ NN
rolls	VV CD NN IN JJS CD JJ !roll/NNS NN NN
romance	CD NN IN NN NN CC DT NN JJ !romance/NN
romantic	JJ NP CD VVD JJ JJ JJ !romantic/JJ VVN JJ NN NNS
romantica	VV CD NN IN JJ NN !romantica/NN JJ NN NN NN
rome	VV CD NN IN !rome/NN DT JJ NN
ron	!ron/NN NN RB JJ
rona	!rona/NN
ronald	JJ NN CC JJ NN NNS MD VV TO !Ronald/NP NP NN
room	CD NN IN NP JJ NN JJ !room/NN NN NNS
roomba	VV CD NN IN NN !roomba/NN NN VVG NN
root	JJ !root/NN NN
rootbeer	JJ !rootbeer/NN
roots	!root/NNS NN NNS
rope	VV CD NN IN NN NN NN !rope/NN
ropes	VV CD NN IN !rope/NNS
rory	VV CD NN IN NN !rory/JJ JJ JJ NN
rose	DT VV IN !rise/VVD NN NNS
rosebud	VV JJ !rosebud/NN NN
rosee	VV CD NN IN JJ !rosee/NN NN JJ TO PP$ NN CD NN NN NP
rosemary	CD NN IN !rosemary/NN
rosen	VV !Rosen/NP NN NN
roses	NNS NN JJ JJ JJ !rose/NNS IN NN
rosetta	!rosetta/NN NN NN NN CD NN
rosewill	VV CD NN IN !rosewill/NN CD NN NN NN NN IN NN VV
rotary	CD NN IN NN NN !rotary/JJ NN
rotary/	VV CD NN IN JJ JJ !rotary//NN NN JJR
rotator	VV CD NN IN NN !rotator/NN JJ NN NN
roto	CD NN IN !Roto/NP NN NN VVD
rotozip	VV RP TO CD NN IN NN CC !rotozip/NN NN NNS
round	NN !round/NN RB IN NN VVG NN JJ
roundup	JJ NNS !roundup/NN
router	NN NN CD NN NN NN !router/NN IN NN
routers	CD NN IN NN !router/NNS CC NN NNS
routes	NN NN !route/NNS
routine	VV CD IN CD NN NN VVG !routine/JJ
rover	CD NN IN NNS JJ NN !rover/NN NN
row	!row/NN NNS
rowenta	VV CD NN IN !rowenta/NN NN NN NNS
rower	NN NN NNS NNS VV CD NN IN NN NN NN JJ JJ !rower/NN
roy	VV CD NN IN NP NP !Roy/NP
royal	!royal/JJ JJ NN NNS
royale	NN IN JJ !royale/JJ NN NN
royale®	VV NN IN !royale®/JJ JJ NN NN
rub	VV NN IN DT !rub/NN NN NN
rubber	VV CD NN IN NP NP VV NN NN JJ !rubber/NN NN NN
rubbermaid	!rubbermaid/NN JJ JJ NN NN
rubble	CD NN IN NN NN !rubble/NN NN NN NN VVD
rubies	VV CD NN IN NN NN JJ JJ NN !ruby/NNS NN NN
ruby	!ruby/JJ
rubys	!rubys/NNS NN NN IN RB JJ
rucksack	VV CD NN IN JJ NN NN NN !rucksack/NN NN NN
rudolph	CD NN IN !rudolph/NN NNS JJ NNS JJ NNS JJ
rudolphs	!rudolphs/NNS VVP NN NN
rudy	!rudy/NN
rug	VV CD NN IN !rug/NN VVN NP JJ NN NN
ruggedized	CD NN IN NN !ruggedize/VVN NP CD
rugs	CD NN IN JJ NN !rug/NNS
rugular	!rugular/JJ NN
run	VV CD NN IN NN NN !run/VVN NP NN NN
runbox	VV NN !runbox/NN NNS IN NN
runner	VV CD NN IN NN !runner/NN NNS VVP
runners	NNS JJ CD JJ !runner/NNS IN RB JJ
running	VV CD NN IN JJ NP NN NN !run/VVG NNS
runway	VV CD NN IN PP$ JJ NN NN NN !runway/NN NN
rush	JJ NN NN NN !rush/NN NNS
rusk	VV CD NN IN !rusk/NN NN VV NN JJ NN
russco	VV CD NN IN !russco/NN NN NN JJ JJ NN NN NN
russet	!russet/JJ JJ NN NNS
rust	VV NN RP IN NN !rust/JJ NN NN
rustic	VV CD NN IN NN !rustic/JJ NN NN
rux	CD NN IN NNS VVP RB CC VV JJR !rux/NN NN
rv	CD NN IN JJ !rv/NN NNS CC NNS IN NN
rw	!rw/NP
rw&co	!rw&co/NN
rxt	VV CD NN IN NN NN !rxt/NN JJ NN NN
ryder	JJ NN IN DT CD !ryder/NN NN NN NN JJ NN NN
ryders	VV CD NN IN NN NN !ryders/NNS VVP IN NP
rype	NN CD NNS IN NN !rype/NN NN
ryzen	VV CD NN IN JJ !ryzen/NN CD NN NN
s	NN NN !s/PP JJ NN IN NN
s&t	VV CD NN IN !s&t/JJ JJ NN NN
s.	TO DT JJ !s./NN
s/	DT NN JJ NNS CC !s//NN NN JJ NN IN RB JJ
s1	CD NN IN NN !s1/NN SYM NN
s2	!s2/JJ NN
s3	NN NN !s3/NN IN NN
s55	VV CD NN IN JJ NN NN !s55/NN JJ NN CD NN NN
s6	!s6/JJ NN
s7	NN NN !s7/JJ
s805	VV CD NN IN JJ JJ NN NN JJ !s805/NN NN NN VVG NNS NN
s9	VV CD NN IN NN NN !s9/NN VVD NN
s905	VV CD NN IN NP JJ NN NN JJ !s905/NN NN NN NN JJ NN CD NN NN JJ NN VVD
sabans	CD NN IN !sabans/NNS NN NNS NN
sabe	!Sabe/NP CD NN IN JJ NN IN VV NN
sabra	VV NN IN !sabra/NN NN
sacle	VV CD NN IN JJ NN NN SYM JJ NN !sacle/NN
saddle	NN NN NN !saddle/NN JJ NN VVN NN IN NN
saeco	VV CD NN IN !saeco/NN NN NN JJ NN CC NN NN
safari	NN !safari/NN
safari-	VV CD NN IN JJ NN VV NN !safari-/NN VV CC VV CD JJ JJ NNS
safavieh	CD NN IN !safavieh/NP NP NN NN
safe	VV CD NN IN JJ !safe/JJ NN
safes	VV CD NN IN JJ !safe/NNS
safety	CD NN IN !safety/NN JJ NN NN NN
safeway	!safeway/NN
saffiano	CD NN IN NN NN NP NN !saffiano/NN VV
saga	CD NN IN DT JJ !saga/NN
sage	CD NN IN !sage/NN CD NN VVG CD JJ NN
sailor	VV CD NN IN !sailor/NN NN NN VVD CD JJ NN
sails	CD NN IN JJ !sail/NNS NN CD NN
salad	!salad/NN VVG CD IN NN
salads	JJ VVP JJR JJ !salad/NNS
sale	NNS NN NN JJ NN !sale/NN
sale+	VV CD NN IN JJ NNS IN NP SYM RB TO CD NN IN DT !sale+/NN JJ CD NN IN DT NP NN NNS
sale-priced	VV DT JJ CD NN IN JJ CC !sale-priced/JJ NNS IN JJ NP NN
sale4theday	!sale4theday/NN
sales	NP NP JJ NN !sale/NNS CC NNS IN NN CD
saline	VV NN IN DT JJ !saline/JJ JJ NN NN
sally	CD NN IN !sally/NN NN NN NN VVD
salmonella	VVN NNS JJ TO !salmonella/NN NN
salon	CD NN IN PP$ NN IN !salon/NN NN
salons	!salon/NNS
salsa	NNS !salsa/NN
salt	VV CD NN IN !salt/NN
salted	JJ IN NN NNS !salt/VVD NN NN NN
salter	!salter/NN CD JJ NN JJ JJ NN IN NN
salton	VV CD NN IN !Salton/NP JJ NN NN
salty	!salty/JJ JJ NN CC NN NN NN NN
salute	VV CD NN IN NN NNS VVP NN !salute/NN
salvation	DT !salvation/NN NN NN NN NN VVZ
sam	VV CD NN IN JJ NP NNS IN !sam/NN NN
same	NN IN !same/JJ NP NP NNS IN NN
same-day	VV RB TO CD NN IN JJ NNS SYM JJ !same-day/NN NN
samko	!samko/NN
samourai	DT !samourai/NN
sample	JJ !sample/NN IN NN NN
sampler	NN NN !sampler/NN VBZ JJ
samplers	NN VVZ CD IN NP SYM CD NN !sampler/NNS
samples	JJ !sample/NNS IN NN NN NN
samplesource	!samplesource/NN JJ VVP CD JJ RB
samplicious	NN NN NN !samplicious/NNS RB JJ
sampling	JJ NN NNS !sample/VVG NN
samsonite	!samsonite/NN
samsung	!Samsung/NP CD NN IN NN
sanadals	!sanadals/NNS SYM JJ NN SYM NN SYM
sand	VV CD NN IN NN NNS JJ NN JJ !sand/NN NN SYM CD NN IN NN NN NN SYM JJ NN NNS
sandal	VV NN NP NP NN JJ NN !sandalwood/NN
sandals	!sandalwood/NNS
sandas	DT VVZ JJ NNS IN NP SYM NN !sandas/NNS
sandbox	VV CD NN IN JJ NNS NN !sandbox/NN
sander	CD NN IN NN !sander/NN
sanding	VV CD NN IN JJ JJ NN !sand/VVG CC NNS JJ NNS
sandisk	VV CD NN IN JJ !sandisk/NN NN NNS
sandstone	VV CD NN IN JJ NN NN !sandstone/NN
sandwich	JJ JJ NN !sandwich/NN
sandwiches	VVP CD JJ !sandwich/NNS
sangeria	!sangeria/NN CC JJ NN
sanguinelli	JJ !sanguinelli/NN NN
sanitizer	VV CD NN IN JJ NN NN NN SYM !sanitizer/NN
sanitizers	!sanitizers/NNS
santa	VV WP PP VVP IN !santa/NN NN NN
santas	CD !santas/NNS JJ NN
santiago	RB NN !santiago/NN VVN NN IN NN
santoku	VV CD NN IN NN CD JJ !santoku/NN NN
sanyo	!sanyo/NN NN NN CC NN CD NN IN NN
sapadilla	CD NN IN !sapadilla/NN
sapphire	NN NN NN IN !sapphire/NN IN NN
sara	VV CD NN IN NN JJ JJ NN !sara/NN
saran	VV CD !saran/NN NN
sarto	NN !sarto/NN
saskatchewan	!saskatchewan/NN
sat	!sit/VVD
sata	JJ NN CD NN !sata/NN NN NN IN JJ
satchel	CD NN IN NN JJ !satchel/NN JJ JJ VVN NN
sateen	VV CD NN IN JJ NN JJ NN !sateen/NN NN NN NN
satin	!satin/NN NN
satisfries	NN NN NN !satisfries/NNS NN
saturday	!Saturday/NN
saturdays	NNS NN NN !Saturday/NNS NN
saturn	VV NN !saturn/NN JJ NN VVN IN NN
sat­ur­day	NN NNS NN JJ !sat­ur­day/NN
sauce	NN !sauce/NN
saucepan	VV CD NN IN NN NN JJ VV NP !saucepan/NN
saucer	!saucer/NN IN JJ
sauces	!sauce/NNS
saucony	VV CD NN IN !saucony/JJ NP NN NN VVG NNS
saul	CD NN IN JJR NN !saul/NN NN CD
sausage	!sausage/NN
